Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
bit manipulation,What operator performs a bitwise AND?,&,|,^,~, &,Compares bits.
bit manipulation,What is a use case for bit manipulation?,Random access,Flag management,Filtering data,Sorting data,Flag management,Efficient storage.
bit manipulation,What is a benefit of bit manipulation?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Reduces space.
bit manipulation,What is a limitation of bit manipulation?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Hard to read.
server-side rendering,What is server-side rendering?,Rendering web pages on the server,Rendering on the client,Sorting data,Filtering data,Rendering web pages on the server,Improves SEO.
server-side rendering,What technology supports server-side rendering?,Node.js,HTML,CSS,JavaScript,Node.js,Server execution.
server-side rendering,What is a use case for server-side rendering?,Random access,SEO optimization,Filtering data,Sorting data,SEO optimization,Enhances search visibility.
server-side rendering,What is a benefit of server-side rendering?,Increased latency,Faster initial load,More memory usage,Slower execution,Faster initial load,Improves user experience.
server-side rendering,What is a limitation of server-side rendering?,Improved performance,Server load,Low memory usage,Fast execution,Server load,Scales with traffic.
dynamic programming,What is dynamic programming?,Solving problems by breaking into overlapping subproblems,Solving problems randomly,Sorting data directly,Filtering data directly,Solving problems by breaking into overlapping subproblems,Optimizes recursion.
dynamic programming,What problem uses dynamic programming?,Fibonacci,Linear search,Binary search,Bubble sort,Fibonacci,Uses memoization.
dynamic programming,What is a use case for dynamic programming?,Random access,Optimization problems,Filtering data,Sorting data,Optimization problems,Efficient solutions.
dynamic programming,What is a benefit of dynamic programming?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Reduces redundant calculations.
dynamic programming,What is a limitation of dynamic programming?,Fast access,Memory usage,Low memory usage,Simple design,Memory usage,Stores subproblem results.
refactoring,What is refactoring in programming?,Improving code structure without changing behavior,Sorting code,Filtering code,Compressing code,Improving code structure without changing behavior,Enhances maintainability.
refactoring,What is a technique for refactoring?,Extract method,Rename variable,Add loop,Remove data,Extract method,Simplifies logic.
refactoring,What is a use case for refactoring?,Random access,Code optimization,Filtering data,Sorting data,Code optimization,Improves readability.
refactoring,What is a benefit of refactoring?,Increased complexity,Maintainability,More memory usage,Slower execution,Maintainability,Reduces technical debt.
refactoring,What is a limitation of refactoring?,Improved performance,Risk of bugs,Low memory usage,Fast execution,Risk of bugs,Requires testing.
scalability,What is scalability in software design?,Ability to handle increased load,Sorting data,Filtering data,Compressing data,Ability to handle increased load,Ensures growth.
scalability,What technique improves scalability?,Load balancing,Adding loops,Filtering data,Sorting data,Load balancing,Distributes traffic.
scalability,What is a use case for scalability?,Random access,Web applications,Filtering data,Sorting data,Web applications,Handles users.
scalability,What is a benefit of scalability?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Supports growth.
scalability,What is a limitation of scalability?,Improved performance,Cost,Low memory usage,Fast execution,Cost,Requires infrastructure.
memory leak,What is a memory leak in programming?,Unused memory not freed,Sorting memory,Filtering memory,Compressing memory,Unused memory not freed,Causes resource exhaustion.
memory leak,What language is prone to memory leaks?,C,Python,JavaScript,HTML,C,Manual memory management.
memory leak,What is a use case for detecting memory leaks?,Random access,Performance tuning,Filtering data,Sorting data,Performance tuning,Optimizes resource use.
memory leak,What is a risk of memory leaks?,Improved performance,System crashes,Low memory usage,Fast execution,System crashes,Exhausts memory.
memory leak,What tool detects memory leaks?,Valgrind,Debugger,Compiler,Formatter,Valgrind,Analyzes memory usage.
code reusability,What is code reusability?,Using code in multiple places,Sorting code,Filtering code,Compressing code,Using code in multiple places,Improves efficiency.
code reusability,What technique promotes code reusability?,Functions,Loops,Variables,Arrays,Functions,Encapsulates logic.
code reusability,What is a use case for code reusability?,Random access,Library development,Filtering data,Sorting data,Library development,Shares functionality.
code reusability,What is a benefit of code reusability?,Increased complexity,Reduced duplication,More memory usage,Slower execution,Reduced duplication,Saves time.
code reusability,What is a limitation of code reusability?,Improved performance,Maintenance overhead,Low memory usage,Fast execution,Maintenance overhead,Requires updates.
microservices,What are microservices?,Independent services communicating over a network,Monolithic applications,Sorting services,Filtering services,Independent services communicating over a network,Enhances scalability.
microservices,What protocol is common in microservices?,HTTP,SMTP,POP3,IMAP,HTTP,Enables communication.
microservices,What is a use case for microservices?,Random access,Large-scale apps,Filtering data,Sorting data,Large-scale apps,Supports modularity.
microservices,What is a benefit of microservices?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Independent deployment.
microservices,What is a limitation of microservices?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires orchestration.
iterator,What is an iterator in programming?,An object for traversing a collection,Sorting data,Filtering data,Compressing data,An object for traversing a collection,Provides sequential access.
iterator,What method advances an iterator in Python?,next(),prev(),move(),skip(),next(),Moves to next element.
iterator,What is a use case for iterators?,Random access,Looping over data,Filtering data,Sorting data,Looping over data,Handles collections.
iterator,What is a benefit of iterators?,Increased complexity,Memory efficiency,More memory usage,Slower execution,Memory efficiency,On-demand access.
iterator,What is a limitation of iterators?,Improved performance,Single traversal,Low memory usage,Fast execution,Single traversal,Cannot rewind.
debugging,What is debugging in programming?,Identifying and fixing errors,Sorting code,Filtering code,Compressing code,Identifying and fixing errors,Improves reliability.
debugging,What tool is used for debugging?,Debugger,Compiler,Formatter,Loader,Debugger,Steps through code.
debugging,What is a use case for debugging?,Random access,Bug fixing,Filtering data,Sorting data,Bug fixing,Locates issues.
debugging,What is a benefit of debugging?,Increased complexity,Reliability,More memory usage,Slower execution,Reliability,Reduces errors.
debugging,What is a limitation of debugging?,Improved performance,Time-intensive,Low memory usage,Fast execution,Time-intensive,Requires patience.
data compression,What is data compression?,Reducing data size,Sorting data,Filtering data,Encrypting data,Reducing data size,Improves storage.
data compression,What algorithm is used for compression?,Huffman coding,Linear search,Binary search,Bubble sort,Huffman coding,Efficient encoding.
